source_url,local_path,title,page_type,source_item_id,published_text,meta_description,text_file
https://vl63.ru/,index.html,"Натяжные потолки в Тольятти и Самаре, компания Вертикальная линия",homepage,,,"Как выгодно заказать натяжные потолки из экологически безопасной пленки ПВХ без запаха, грамотно подготовить помещение к монтажу, качественно установить полотно сложных форм, красивого цвета и фактуры к дизайну интерьера своей квартиры или дома, подскажут наши фото, статьи и хорошие отзывы наших клиентов.",articles/89ff78a357451320.md
https://vl63.ru/katalog_cvetov_plenki.html,katalog_cvetov_plenki.html,Каталог цветов лаковой пленки натяжного потолка Lackfolie,k2-item,63,,Выбрать цвет натяжного потолка по каталогу пленки Lackfolie (Германия),articles/6666d33631f81d79.md
https://vl63.ru/nashi_raboty.html,nashi_raboty.html,"Натяжные потолки фото в интерьерах, компания Вертикальная линия",k2-item,133,,"Фотографии натяжных потолков в интерьере комнат и помещений различного назначения, портфолио компании ""Вертикальная линия"".",articles/01985f52279efdb0.md
https://vl63.ru/akcia.html,akcia.html,"Натяжные потолки акции и скидки в Самаре, Тольятти и Сызрани",k2-item,52,,"Акции и выгодные предложения на натяжные потолки в Тольятти от компании ""Вертикальная линия""",articles/e7b60673708e8a67.md
https://vl63.ru/contacts.html,contacts.html,Контакты фирмы по натяжным потолкам,k2-item,36,,"Контакты, юридические и банковские реквизиты, схема проезда к офисам компании Вертикальная линия",articles/964f8d9073a0bef9.md
https://vl63.ru/nashi_raboty/bassejn-alter-ego.html,nashi_raboty/bassejn-alter-ego.html,"Бассейн ""Альтер Эго""",k2-item,37,,"Натяжной потолок над чашей 25-метрового бассейна в ""Альтер Эго"" ул.Карбышева, 2 разбит на три части для возможности монтажа. Единое полотно натянуть н...",articles/e3f621e80e288ba9.md
https://vl63.ru/nashi_raboty/lovchiy.html,nashi_raboty/lovchiy.html,Ловчий+,k2-item,38,,"Натяжной потолок в бассейне банного комплекса, установленный компанией ""Вертикальная линия"" в лучшем стрелковом комплексе Европы ""Ловчий"" (г.Тольятти,...",articles/9a86c3bb1ab3d2c9.md
https://vl63.ru/nashi_raboty/sush-ka.html,nashi_raboty/sush-ka.html,Sush-ka,k2-item,39,,"Установленные в Тольятти натяжные потолки компании ""Вертикальная линия"" можно увидеть в ТРК ""Мадагаскар"" вдоль окон ресторана ""Сушка"".",articles/6bdd79576b259fea.md
https://vl63.ru/nashi_raboty/kafe_tarelka.html,nashi_raboty/kafe_tarelka.html,"кафе ""Тарелка""",k2-item,41,,  View the embedded image gallery online at: https://vl63.ru/nashi_raboty/kafe_tarelka.html#sigProIdcf0ba6e7ad,articles/d964f230a1838f4e.md
https://vl63.ru/nashi_raboty/madagaskar.html,nashi_raboty/madagaskar.html,ТЦ Мадагаскар,k2-item,42,,"Двухуровневые натяжные потолки со спайкой полотен двух цветов лаковой фактуры в холле кинотеатра ""Три кита"" в ТРК ""Мадагаскар"" (г.Тольятти, ул.Льва Яш...",articles/8d2b0ba9ff076e3a.md
https://vl63.ru/nashi_raboty/otel_emerald.html,nashi_raboty/otel_emerald.html,"Гостиничный комплекс ""Эмеральд""",k2-item,43,,"Натяжные потолки от компании Вертикальная линия. Фото работ: Гостиничный комплекс ""Эмеральд"".",articles/f29edb7b50b9545d.md
https://vl63.ru/nashi_raboty/kafe_florans.html,nashi_raboty/kafe_florans.html,"Кафе ""Флоранс""",k2-item,44,,  View the embedded image gallery online at: https://vl63.ru/nashi_raboty/kafe_florans.html#sigProId1b9c97a393,articles/f587bcebc066e2df.md
https://vl63.ru/nashi_raboty/restoran_jemchujina_jiguley.html,nashi_raboty/restoran_jemchujina_jiguley.html,Ресторан Жемчужина Жигулей,k2-item,45,,Синие глянцевые натяжные потолки с внутренними вырезами в форме эллипса в зале ресторана   View the embedded image gallery online at: https://vl6...,articles/956df20f1acbc859.md
https://vl63.ru/o-kompanii.html,o-kompanii.html,О компании,k2-item,70,,"Узнайте подробнее о компании ""Вертикальная линия"" из Тольятти!",articles/0fe14a79c628ffd2.md
https://vl63.ru/news.html,news.html,"Натяжные потолки Тольятти, новости - Компания ""Вертикальная линия""",listing-or-page,,,,articles/b7730c4f4bc63d02.md
https://vl63.ru/pyblikazii.html,pyblikazii.html,Публикации,k2-item,62,,"О чём пишут газеты и журналы о компании ""Вертикальная линия"". Подборка публикаций.",articles/5fee152cba49dd0d.md
https://vl63.ru/partners.html,partners.html,Партнерам,k2-item,61,,"Извлеките выгоду от сотрудничества с компанией по натяжным потолкам ""Вертикальная линия""!",articles/77f87098b699139f.md
https://vl63.ru/sertifikaty.html,sertifikaty.html,Сертификаты на натяжные потолки,k2-item,75,,"Санитарно-эпидемиологические заключения, пожарные сертификаты, гигиеническая характеристика пленки для натяжных потолков.",articles/7212464044d33abc.md
https://vl63.ru/natyznie-potolki.html,natyznie-potolki.html,Фирменные натяжные потолки,k2-item,80,,Какие натяжные потолки предлагает компания Вертикальная линия.,articles/159f50700f2ff8d5.md
https://vl63.ru/natyznsoi-potolok-zakazat.html,natyznsoi-potolok-zakazat.html,"С чего начать, чтобы купить натяжной потолок.",k2-item,82,,"Купить качественный натяжной потолок не сложно, если начать набирать номер телефона  U+260E +7 (8482) 503-206 !",articles/178929450aa1d45a.md
https://vl63.ru/podgotovka_pomescheniya.html,podgotovka_pomescheniya.html,Подготовка помещения к монтажу натяжного потолка,k2-item,149,,"Как подготовить помещения к установке натяжных потолков подскажут специалисты фирмы ""Вертикальная линия"".",articles/412e5bc8c7188688.md
https://vl63.ru/rekomendacii.html,rekomendacii.html,Важные рекомендации,listing-or-page,,,"Важные рекомендации экспертов компании ""Вертикальная линия"" по установке натяжных потолков. Советы специалистов по натяжным потолкам из Тольятти.",articles/7e4656168cbfcb5f.md
https://vl63.ru/vybor_formy.html,vybor_formy.html,Выбор формы натяжного потолка,k2-item,65,,"Компания ""Вертикальная линия"" г.Тольятти. Натяжные потолки. Производство. Монтаж. Установка.",articles/86de96fc153a6493.md
https://vl63.ru/vybor_lyustr.html,vybor_lyustr.html,Выбор люстр для натяжных потолков,k2-item,150,,"Как правильно подобрать люстры для натяжных потолков и где их выгодно купить, посоветуют специалисты компании ""Вертикальная линия"".",articles/11594b69b78be8e9.md
https://vl63.ru/proizvodstvo.html,proizvodstvo.html,Производство и монтаж натяжных потолков,k2-item,151,,"Компания Вертикальная линия занимается производством и установкой натяжных потолков в Самаре, Тольятти и Сызрани. Описание процесса изготовления и монтажа.",articles/bf158e070d664a8b.md
https://vl63.ru/profil.html,profil.html,Профили натяжных потолков,k2-item,132,,Широкий ассортимент алюминиевого профиля для монтажа натяжных потолков позволяет реализовать любые дизайнерские решения.,articles/a565ee4b3476325c.md
https://vl63.ru/svetilniki.html,svetilniki.html,Светильники для натяжных потолков,k2-item,83,,"Эти встраиваемые точечные светильники идеально подойдут к натяжным потолкам. Узнайте, где и как их купить дешевле!",articles/3a44a06db1fc1db3.md
https://vl63.ru/moduli-v-armstrong.html,moduli-v-armstrong.html,Модульные натяжные потолки для подвесного Armstrong,k2-item,219,,Компания Вертикальная линия предлагает встроить в подвесной потолок типа Armstrong красивые натяжные потолки. Модули для ячейки кассетного потолка Армстронг.,articles/9392e19b97b98e67.md
https://vl63.ru/ekspluatacia-i-uhod-za-natjazhnym-potolkom.html,ekspluatacia-i-uhod-za-natjazhnym-potolkom.html,Эксплуатация и уход за натяжным потолком,k2-item,85,,"Узнайте, как и чем протереть, удалить пятна, разводы, пыль, брызги, капли, грязь, жир, клей и прочие загрязнения с натяжного потолка!",articles/669d2359e70fec44.md
https://vl63.ru/garantii.html,garantii.html,Гарантии на натяжные потолки,k2-item,78,,"С компанией по натяжным потолкам ""Вертикальная линия"" Вы не останетесь со своими проблемами! Мы чётко соблюдаем все свои гарантийные обязательства.",articles/65f34715ce4936a0.md
https://vl63.ru/bezopasnost.html,bezopasnost.html,Безопасность,k2-item,76,,"Безопасный монтаж натяжных потолков. Насколько опасный монтаж натяжных потолков, есть ли вред от натяжных потолков? На эти волнующие многих вопросы отвечают специалисты по натяжным потолкам из Тольятти компании ""Вертикальная линия"".",articles/3da26422dee004e3.md
https://vl63.ru/otzivi.html,otzivi.html,"Натяжные потолки отзывы - Компания ""Вертикальная линия""",listing-or-page,,,"Заказать качественные натяжные потолки по низкой цене, грамотно сделать монтаж полотен сложных форм, найти нужный цвет плёнки из экологически безопасного ПВХ, подобрать фактуру полотна к дизайну и стилю интерьера квартиры, дома, коттеджа помогут наши публикации, фото, картинки, каталоги и схемы.",articles/4bbb4ec52060f58a.md
https://vl63.ru/news/item/167-40.html,news/item/167-40.html,Оплата банковскими картами за натяжные потолки от компании Вертикальная линия,k2-item,167,,"Наличных нет, а оплатить заказ надо. Безналичная оплата за натяжные потолки - это удобно! Компания ""Вертикальная линия"" к вашим услугам.",articles/a987a387cd5a0daf.md
https://vl63.ru/news/item/316-populyarnyj-v-tolyatti-nakladnoj-svetilnik-dlya-natyazhnyh-potolkov.html,news/item/316-populyarnyj-v-tolyatti-nakladnoj-svetilnik-dlya-natyazhnyh-potolkov.html,Популярный в Тольятти накладной светильник для натяжных потолков. Берите не пожалеете!,k2-item,316,"Среда, 23 Май 2018 14:20","Накладной светодиодный светильник FERON AL5000 - отличный выбор для натяжного потолка! Эксперты фирмы ""Вертикальная линия"" из Тольятти советуют к покупке.",articles/4a66a7e16b5fa99a.md
https://vl63.ru/news/item/315-kartinka-strelochnyh-chasov-na-natyazhnom-potolke-v-malenkoj-kuhne.html,news/item/315-kartinka-strelochnyh-chasov-na-natyazhnom-potolke-v-malenkoj-kuhne.html,Картинка стрелочных часов на натяжном потолке в маленькой кухне.,k2-item,315,"Понедельник, 21 Май 2018 13:23","Небольшую кухню украсил натяжной потолок с фотопечатью старинных стрелочных часов. Одна из работ фирмы ""Вертикальная линия"" в Тольятти.",articles/f1078f2be5b66a97.md
