old_url,archive_path,new_url,decision
https://vl63.ru/,index.html,,review
https://vl63.ru/katalog_cvetov_plenki.html,katalog_cvetov_plenki.html,,review
https://vl63.ru/nashi_raboty.html,nashi_raboty.html,,review
https://vl63.ru/akcia.html,akcia.html,,review
https://vl63.ru/contacts.html,contacts.html,,review
https://vl63.ru/nashi_raboty/bassejn-alter-ego.html,nashi_raboty/bassejn-alter-ego.html,,review
https://vl63.ru/nashi_raboty/lovchiy.html,nashi_raboty/lovchiy.html,,review
https://vl63.ru/nashi_raboty/sush-ka.html,nashi_raboty/sush-ka.html,,review
https://vl63.ru/nashi_raboty/kafe_tarelka.html,nashi_raboty/kafe_tarelka.html,,review
https://vl63.ru/nashi_raboty/madagaskar.html,nashi_raboty/madagaskar.html,,review
https://vl63.ru/nashi_raboty/otel_emerald.html,nashi_raboty/otel_emerald.html,,review
https://vl63.ru/nashi_raboty/kafe_florans.html,nashi_raboty/kafe_florans.html,,review
https://vl63.ru/nashi_raboty/restoran_jemchujina_jiguley.html,nashi_raboty/restoran_jemchujina_jiguley.html,,review
https://vl63.ru/o-kompanii.html,o-kompanii.html,,review
https://vl63.ru/news.html,news.html,,review
https://vl63.ru/pyblikazii.html,pyblikazii.html,,review
https://vl63.ru/partners.html,partners.html,,review
https://vl63.ru/sertifikaty.html,sertifikaty.html,,review
https://vl63.ru/natyznie-potolki.html,natyznie-potolki.html,,review
https://vl63.ru/natyznsoi-potolok-zakazat.html,natyznsoi-potolok-zakazat.html,,review
https://vl63.ru/podgotovka_pomescheniya.html,podgotovka_pomescheniya.html,,review
https://vl63.ru/rekomendacii.html,rekomendacii.html,,review
https://vl63.ru/vybor_formy.html,vybor_formy.html,,review
https://vl63.ru/vybor_lyustr.html,vybor_lyustr.html,,review
https://vl63.ru/proizvodstvo.html,proizvodstvo.html,,review
https://vl63.ru/profil.html,profil.html,,review
https://vl63.ru/svetilniki.html,svetilniki.html,,review
https://vl63.ru/moduli-v-armstrong.html,moduli-v-armstrong.html,,review
https://vl63.ru/ekspluatacia-i-uhod-za-natjazhnym-potolkom.html,ekspluatacia-i-uhod-za-natjazhnym-potolkom.html,,review
https://vl63.ru/garantii.html,garantii.html,,review
https://vl63.ru/bezopasnost.html,bezopasnost.html,,review
https://vl63.ru/otzivi.html,otzivi.html,,review
https://vl63.ru/news/item/167-40.html,news/item/167-40.html,,review
https://vl63.ru/news/item/316-populyarnyj-v-tolyatti-nakladnoj-svetilnik-dlya-natyazhnyh-potolkov.html,news/item/316-populyarnyj-v-tolyatti-nakladnoj-svetilnik-dlya-natyazhnyh-potolkov.html,,review
https://vl63.ru/news/item/315-kartinka-strelochnyh-chasov-na-natyazhnom-potolke-v-malenkoj-kuhne.html,news/item/315-kartinka-strelochnyh-chasov-na-natyazhnom-potolke-v-malenkoj-kuhne.html,,review
https://vl63.ru/news/item/314-natyazhnye-potolki-v-gostinichnyh-nomerah-ustanovleny-skoro-otkroetsya-v-tolyatti-gostinitsa-kokon.html,news/item/314-natyazhnye-potolki-v-gostinichnyh-nomerah-ustanovleny-skoro-o__48ba6cfc33fc.html,,review
https://vl63.ru/news/item/313-dvuhurovnevyj-natyazhnoj-potolok-s-krasivym-kuhonnym-garniturom-v-zhk-lesnaya-sloboda.html,news/item/313-dvuhurovnevyj-natyazhnoj-potolok-s-krasivym-kuhonnym-garniturom-v-zhk-lesnaya-sloboda.html,,review
https://vl63.ru/news/item/311-kak-vyglyadit-v-interere-natyazhnoj-potolok-s-bleskom-bronzovogo-tsveta.html,news/item/311-kak-vyglyadit-v-interere-natyazhnoj-potolok-s-bleskom-bronzovogo-tsveta.html,,review
